Area,Zone,Bank,Stand,NetWin,Old Denom,New Denom,Old Payback %,New Payback %,Asset,Date
1,2,48,1,-6258,0.5,2,95.17,94,1097,25-06-19
1,2,48,2,54995,0.5,2,95.17,94,1095,25-06-19
1,2,48,3,-10257,0.5,2,95.17,94,1098,25-06-19
1,2,48,4,-7123,0.5,2,95.17,94,1224,25-06-19
1,1,2,1,40200,1,1,92.59,95.08,8028,24-06-19
1,1,2,2,0,1,1,92.5,92.5,8029,24-06-19
1,1,2,3,0,1,1,94.01,94.01,8030,24-06-19
1,1,2,4,61467,1,1,92.51,94.01,8056,24-06-19
1,1,2,5,0,1,1,94.03,94.03,8057,24-06-19
1,1,2,6,-44416,1,1,92.51,92,8059,24-06-19
1,1,37,1,0,1,1,93.98,93.98,8311,24-06-19
1,1,37,2,-1610,1,1,94.03,94.01,8301,24-06-19
1,1,37,3,0,1,1,94,94,8315,24-06-19
1,1,37,4,0,1,1,93.97,93.97,8297,24-06-19
1,1,37,5,0,1,1,92.49,92.49,8313,24-06-19
1,1,37,6,0,1,1,93.97,93.97,8314,24-06-19
1,1,37,7,0,1,1,94.03,94.03,8300,24-06-19
1,1,37,8,58834,1,1,94,92.5,8299,24-06-19
1,1,37,9,0,1,1,93.98,93.98,8305,24-06-19
1,1,37,10,39372,1,1,94.99,94.01,8312,24-06-19
1,1,26,1,11542,5,1,92.05,94,9211,16-06-19
1,1,26,2,10143,5,1,92.5,94,9212,16-06-19
1,1,26,3,10143,5,1,92.5,94,9213,16-06-19
1,1,26,4,10143,5,1,92.5,94,9214,16-06-19
1,1,34,1,0,0.1,0.1,87.95,87.95,4083,16-06-19
1,1,34,2,13870,0.1,0.1,88.04,92.5,4085,16-06-19
1,1,34,3,0,0.1,0.1,87.95,87.95,5032,16-06-19
1,1,34,4,13870,0.1,0.1,88.04,92.5,4087,16-06-19
1,1,34,5,0,0.1,0.1,87.95,87.95,5033,16-06-19
1,1,34,6,0,0.1,0.1,87.95,87.95,4082,16-06-19
1,1,34,7,0,0.1,0.1,87.95,87.95,4084,16-06-19
1,1,34,8,0,0.1,0.1,88.04,88.04,4080,16-06-19
1,1,34,9,14149,0.1,0.1,87.95,92.5,4088,16-06-19
1,1,34,10,14149,0.1,0.1,87.95,92.5,4086,16-06-19
1,1,99,1,10143,5,1,92.5,94,9219,16-06-19
1,1,99,2,10143,5,1,92.5,94,9220,16-06-19
1,1,99,3,10143,5,1,92.5,94,9221,16-06-19
1,1,99,4,10143,5,1,92.5,94,9222,16-06-19
1,2,96,1,3587,0.1,1,90.97,92.52,8367,16-06-19
1,2,96,2,3587,0.1,1,90.97,92.52,8368,16-06-19
1,2,96,3,3587,0.1,1,90.97,92.52,8369,16-06-19
1,2,96,4,3587,0.1,1,90.97,92.52,8370,16-06-19
1,2,96,5,3587,0.1,1,90.97,92.52,8371,16-06-19
1,2,96,6,3587,0.1,1,90.97,92.52,8372,16-06-19
1,2,96,7,3587,0.1,1,90.97,92.52,8373,16-06-19
1,2,96,8,3587,0.1,1,90.97,92.52,8374,16-06-19
1,2,96,9,3587,0.1,1,90.97,92.52,8375,16-06-19
1,2,96,10,3587,0.1,1,90.97,92.52,8376,16-06-19
1,2,96,11,3587,0.1,1,90.97,92.52,8377,16-06-19
1,2,96,12,3587,0.1,1,90.97,92.52,8378,16-06-19
1,6,51,1,4011,0.1,0.1,90.71,92,8910,16-06-19
1,6,51,2,0,0.1,0.1,90.52,90.52,8911,16-06-19
1,6,51,3,-995,0.1,0.1,93.82,93.5,8912,16-06-19
1,6,51,4,0,0.1,0.1,94.4,94.4,8913,16-06-19
1,6,51,5,11475,0.1,0.1,90.4,94.09,8914,16-06-19
1,6,51,6,0,0.1,0.1,90.55,90.55,8915,16-06-19
1,6,51,7,10822,0.1,0.1,90.57,94.05,8916,16-06-19
1,6,51,8,13372,0.1,0.1,90.43,94.73,8917,16-06-19
1,6,51,9,0,0.1,0.1,94.27,94.27,8918,16-06-19
1,6,51,10,995,0.1,0.1,93.5,93.82,8919,16-06-19
1,6,82,1,0,0.1,0.1,90.38,90.38,9008,16-06-19
1,6,82,2,0,0.1,0.1,90.38,90.38,9009,16-06-19
1,6,82,3,0,0.1,0.1,90.38,90.38,9010,16-06-19
1,6,82,4,11226,0.1,0.1,90.38,93.99,9011,16-06-19
1,6,82,5,0,0.1,0.1,90.38,90.38,9012,16-06-19
1,6,82,6,0,0.1,0.1,90.38,90.38,9013,16-06-19
1,6,82,7,11226,0.1,0.1,90.38,93.99,9014,16-06-19
1,6,82,8,11226,0.1,0.1,90.38,93.99,9015,16-06-19
1,6,82,9,0,0.1,0.1,90.38,90.38,9016,16-06-19
1,6,82,10,11226,0.1,0.1,90.38,93.99,9017,16-06-19
1,6,129,1,0,0.1,0.1,90.08,90.08,4039,16-06-19
1,6,129,2,6188,0.1,0.1,89.98,91.97,4040,16-06-19
1,6,129,3,10542,0.1,0.1,90.03,93.42,4041,16-06-19
1,6,129,4,0,0.1,0.1,91.94,91.94,4042,16-06-19
1,6,129,5,0,0.1,0.1,90.08,90.08,4043,16-06-19
1,6,129,6,6095,0.1,0.1,90.14,92.1,4044,16-06-19
1,6,129,7,6313,0.1,0.1,89.95,91.98,4045,16-06-19
1,6,129,8,6437,0.1,0.1,90.07,92.14,4046,16-06-19
1,1,26,1,37631,5,1,92.05,94,9211,15-06-19
1,1,26,2,33069,5,1,92.5,94,9212,15-06-19
1,1,26,3,33069,5,1,92.5,94,9213,15-06-19
1,1,26,4,33069,5,1,92.5,94,9214,15-06-19
1,1,35,1,-14599,1,1,94,92.56,8017,15-06-19
1,1,35,2,0,1,1,82.01,82.01,8018,15-06-19
1,1,35,3,85671,1,1,85.56,94.01,8019,15-06-19
1,1,35,4,14396,1,1,92.58,94,8020,15-06-19
1,1,35,5,15208,1,1,92.51,94.01,8021,15-06-19
1,1,35,6,0,1,1,90.04,90.04,8022,15-06-19
1,1,99,1,33069,5,1,92.5,94,9219,15-06-19
1,1,99,1,33069,5,1,92.5,94,9219,15-06-19
1,1,99,2,33069,5,1,92.5,94,9220,15-06-19
1,1,99,2,33069,5,1,92.5,94,9220,15-06-19
1,1,99,3,33069,5,1,92.5,94,9221,15-06-19
1,1,99,3,33069,5,1,92.5,94,9221,15-06-19
1,1,99,4,33069,5,1,92.5,94,9222,15-06-19
1,1,99,4,33069,5,1,92.5,94,9222,15-06-19
1,4,122,3,70705,10,1,90.99,94,8295,15-06-19
1,4,122,3,70705,10,1,90.99,94,8295,15-06-19
